title,attack_type,attack_type_code,description,year,month,day,Africa,Asia,Australia,Europe,North America,South America,reference_title,reference_url
"Cyber attack on the website of an airport in California, USA",Hacking,3,"Long Beach Airport - Long Beach, California, USA (Los Angeles County)",2023,11,14,0,0,0,0,1,0,Long Beach Airport’s Website Taken Down By Cyber Attack,hstoday.us
"Cyber attack on a city government in California, USA",Hacking,3,"Long Beach, California, USA (Los Angeles County)",2023,11,14,0,0,0,0,1,0,"Long Beach declares emergency in response to cyberattack, pulls city systems offline",lbpost.com
"Cyber attack on a hospital in Indiana, USA?",Hacking,3,"Daviess Community Hospital - Washington, Indiana, USA (Daviess County)",2023,11,1,0,0,0,0,1,0,Daviess’ systems may have been the subject of a data security incident,facebook.com
Cyber attack on a fintech company in Canada,Hacking,3,"Moneris - Toronto, Ontario, Canada",2023,11,1,0,0,0,0,1,0,November 25: Update on Cyber Security Incident,moneris.com
Cyber attack on a state-owned service provider in Germany,Hacking,3,"Deutsche Energie-Agentur (Dena) - Berlin, Germany",2023,11,13,0,0,0,1,0,0,Cyberangriff auf die dena,dena.de
"Cyber attack on a automotive supplier in Michigan, USA",Hacking,3,"Yanfeng International Automotive Technology - Novi, Michigan, USA (Oakland County)",2023,11,1,0,0,0,0,1,0,Stellantis production affected by cyberattack at auto supplier,eu.detroitnews.com
Cyber attack on a deep-freeze warehouse operator in Finland,Hacking,3,"KWH Freeze - Vantaa, Finland",2023,11,12,0,0,0,1,0,0,"Tärkeää tietoa KWH Freezen palveluksessa oleville ja olleille työntekijöille koskien tietoturvahyökkäystä, jonka kohteen on KWH Freeze",kwhfreeze.fi
"Ransomware at a city government in Ohio, USA",Ransomware,6,"City of Huber Heights - Huber Heights, Ohio, USA (Montgomery County, Miami County)",2023,11,12,0,0,0,0,1,0,City of Huber Heights – Ransomware Attack UPDATE,hhoh.org
"Cyber attack on a county government in North Carolina, USA",Hacking,3,"Bladen County - Elizabethtown, North Carolina, USA (Bladen County)",2023,11,1,0,0,0,0,1,0,Cyberattack on North Carolina county allowed hackers to access data,therecord.media
"Cyber attack on a university in North Carolina, USA",Hacking,3,"North Carolina Central University (NCCU) - Durham, North Carolina, USA (Durham County)",2023,11,12,0,0,0,0,1,0,"Cyberattack cancels online classes at NCCU, disrupts other services",spectrumlocalnews.com
